store_code,store_name
0555,东莞樟木头镇蓓蕾街店
760019,杭州富阳区春秋南路店
0223,深圳福田区上沙2店
0498,深圳市龙岗区长海雅园店
1285,广州花都区深航花园店
811004,青岛市市北区延吉路店
780016,宁波江东区白鹤店
1172,广州增城区盛世名门店
770117,镇江市润州区三茅宫店
700189,武汉市武昌区融侨城店
0641,东莞市寮步镇万科松湖传奇店
1617,广州市黄埔区新福港鼎峰花园店
770085,南京市江宁区新城珑湾花园店
0441,深圳市龙岗区乐城店
720034,上海普陀区阳光威尼斯店
760101,杭州市江干区冠宇隽园店
310017,叶爱艳(深圳)
1614,清远市清城区时代倾城店
0576,东莞大岭山镇领尚天地店
790033,重庆市沙坪坝区南方新城店
700118,武汉江汉区北湖正街店
730026,北京西城区马连道中里店
3051,三亚天涯区和平街店
750037,郑州市金水区长基花园店
790117,重庆市康德国会山2店
720239,上海静安区临汾路2店
1473,江门市蓬江区嘉盈苑店
5007,成都成华区新鸿路店
1615,佛山市顺德区保利中央公园店
770230,南京市秦淮区八宝前街店
760071,杭州市拱墅区密渡桥路店
710125,苏州昆山市启航社河西店
770236,南京市雨花区自在城大方路店
4001,金华婺城区东莱路店
740012,南昌西湖区龙盛佳园店
1381,广州花都区雅宝新城店
780042,宁波市北仑区长江新花园店
0472,深圳市宝安区凤凰花苑店
811017,青岛市李沧区湖山美地店
720096,上海徐汇区华滨家园店
750119,郑州市二七区联合雅园店
790146,重庆市渝北区高岩路店
0401,深圳市光明新区光明大第店
3009,海口龙华区亚洲亚洲豪苑店
4049,义乌万达广场店
0089,深圳龙岗区东大街1店
700137,武汉汉阳区蔡家馨苑店
1182,广州增城区凤凰城2店
0748,惠州市惠城区城市时代花园店
0379,深圳市福田区香荔花园店
0606,东莞市莞城区东湖花园店
0829,汕头市潮阳区中信华庭店
760005,杭州余杭区桃安路店
1012,佛山南海区万科金色家园店
803059,合肥市包河区春晖园店
730149,北京市丰台区万年花城店
0602,东莞市沙田镇海港路店
730113,北京市通州区新通国际花园店
1023,广州海珠区英豪花园店
790028,重庆市南岸区东海长洲店
